SongID,Performer.x,Song.x,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,url,WeekID,Week.Position,Song.y,Performer.y,Instance,Previous.Week.Position,Peak.Position,Weeks.on.Chart,genrez,date2,year,month,rock_genrez,weeks_chart,position_peak,year2,weeks_chart2,position_peak2,performer,song
She's Got A WayBilly Joel,Billy Joel,She's Got A Way,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",3Ie2eLOIj2IhKnzPwXrLbJ,https://p.scdn.co/mp3-preview/044e917c126360a598b7818d9078e81fdac85d45?cid=b8d3901151d34489a160e3cf0ab1fa94,Cold Spring Harbor,FALSE,169226,50,0.495,0.142,11,-16.186,0,0.0436,0.97,1.93e-6,0.113,0.196,75.859,4,http://www.billboard.com/charts/hot-100/1982-02-13,2/13/1982,84,She's Got A Way,Billy Joel,1,38,23,13,rock,1982-02-13,1982,2,classic,13,23,1982,13,23,Billy Joel,She's Got A Way
If Something Should HappenDarryl Worley,Darryl Worley,If Something Should Happen,"['contemporary country', 'country', 'country road', 'modern country rock']",28ZUoSyOdNswEdokyJs07B,NA,Darryl Worley,FALSE,279560,47,0.55,0.594,4,-8.51,1,0.0374,0.251,1.07e-6,0.0677,0.282,159.091,4,http://www.billboard.com/charts/hot-100/2005-07-09,7/9/2005,75,If Something Should Happen,Darryl Worley,1,81,75,7,rock,2005-07-09,2005,7,country rock,7,75,2005,7,75,Darryl Worley,If Something Should Happen
Street Corner SerenadeWet Willie,Wet Willie,Street Corner Serenade,"['classic rock', 'country rock', 'southern rock']",1EI0x3yv1P5AQSq3WaZ6cv,https://p.scdn.co/mp3-preview/14165603582539dbba79804b78f37972a0482d68?cid=b8d3901151d34489a160e3cf0ab1fa94,Manorisms,FALSE,294280,23,0.758,0.623,11,-10.615,1,0.0443,0.139,0.0468,0.169,0.964,122.351,4,http://www.billboard.com/charts/hot-100/1978-02-11,2/11/1978,31,Street Corner Serenade,Wet Willie,1,34,31,11,rock,1978-02-11,1978,2,classic,11,31,1978,11,31,Wet Willie,Street Corner Serenade
Ticket To RideThe Beatles,The Beatles,Ticket To Ride,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",7CZiDzGVjUssMSOXrDNYHL,NA,Help! (Remastered),FALSE,189680,67,0.519,0.85,9,-6.777,1,0.0678,0.0457,0,0.233,0.749,123.419,4,http://www.billboard.com/charts/hot-100/1965-07-03,7/3/1965,47,Ticket To Ride,The Beatles,1,20,1,11,rock,1965-07-03,1965,7,british,11,1,1965,11,1,The Beatles,Ticket To Ride
Marry MeThomas Rhett,Thomas Rhett,Marry Me,"['contemporary country', 'country', 'country road', 'modern country rock']",0OWZFobGSIW9GrSlQ9C5pc,NA,Life Changes,FALSE,205453,71,0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,4,https://www.billboard.com/charts/hot-100/2018-04-14,4/14/2018,44,Marry Me,Thomas Rhett,1,35,30,17,rock,2018-04-14,2018,4,country rock,17,30,2018,17,30,Thomas Rhett,Marry Me
A Heart In New YorkArt Garfunkel,Art Garfunkel,A Heart In New York,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'traditional folk']",05iPg44iQftuEjHXoXAlvT,https://p.scdn.co/mp3-preview/68da5b618500642692820d2c389be2b1af0208fc?cid=b8d3901151d34489a160e3cf0ab1fa94,Scissors Cut,FALSE,191800,44,0.435,0.207,2,-18.939,0,0.034,0.831,0.00478,0.306,0.429,95.918,4,http://www.billboard.com/charts/hot-100/1981-10-03,10/3/1981,99,A Heart In New York,Art Garfunkel,1,91,66,9,rock,1981-10-03,1981,10,soft rock,9,66,1981,9,66,Art Garfunkel,A Heart In New York
Hold The LineToto,Toto,Hold The Line,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",4aVuWgvD0X63hcOCnZtNFA,https://p.scdn.co/mp3-preview/3f451d46def07f436729cd5b48d7d88a7d48dc4d?cid=b8d3901151d34489a160e3cf0ab1fa94,Toto,FALSE,235800,76,0.494,0.698,6,-12.049,0,0.0553,0.0397,0.00634,0.152,0.778,95.842,4,http://www.billboard.com/charts/hot-100/1978-12-23,12/23/1978,10,Hold The Line,Toto,1,13,10,12,rock,1978-12-23,1978,12,soft rock,12,10,1978,12,10,Toto,Hold The Line
(Just Like) Starting OverJohn Lennon,John Lennon,(Just Like) Starting Over,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']",5y0YreEOnQiKFAnCrcFIXz,NA,Double Fantasy Stripped Down,FALSE,236546,57,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-5,0.179,0.421,99.104,4,http://www.billboard.com/charts/hot-100/1981-01-03,1/3/1981,1,(Just Like) Starting Over,John Lennon,1,1,1,10,rock,1981-01-03,1981,1,classic,10,1,1981,10,1,John Lennon,(Just Like) Starting Over
BotherStone Sour,Stone Sour,Bother,"['alternative metal', 'groove metal', 'nu metal', 'post-grunge', 'rock']",0AfIsqZ4gTUg9CwwW2jLeK,https://p.scdn.co/mp3-preview/b77bf522156b564ac3d890bd4ac496b8087b26fd?cid=b8d3901151d34489a160e3cf0ab1fa94,Stone Sour,TRUE,240400,67,0.272,0.281,1,-7.634,1,0.0287,0.388,2.29e-5,0.158,0.141,89.914,4,http://www.billboard.com/charts/hot-100/2002-12-14,12/14/2002,72,Bother,Stone Sour,1,56,56,7,rock,2002-12-14,2002,12,metal,7,56,2002,7,56,Stone Sour,Bother
A Whole New World (Aladdin's Theme)Peabo Bryson & Regina Belle,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),"['adult standards', 'new jack swing', 'quiet storm', 'soft rock', 'urban contemporary']",4tS8xQfyPGc7f4lJ1JP6BX,https://p.scdn.co/mp3-preview/61dea0c7fc0a43ae96c9712e2d4a12260ca0be7d?cid=b8d3901151d34489a160e3cf0ab1fa94,Passion,FALSE,243493,64,0.516,0.32,2,-10.487,1,0.0303,0.627,0,0.144,0.131,107.894,4,http://www.billboard.com/charts/hot-100/1993-04-10,4/10/1993,19,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,1,12,1,17,rock,1993-04-10,1993,4,soft rock,17,1,1993,17,1,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme)
